timestamp,dpid,packet_count,byte_count,packet_rate,byte_rate,flow_duration_sec,ip_src_count,ip_src_entropy,avg_packet_size,std_packet_size,port_status,rx_dropped,tx_dropped,label
1790318032.40,1,0,0,0.00,0.00,0.30,0,0.0000,0.00,0.00,1,0,0,normal
1790318033.39,1,0,0,0.00,0.00,1.31,0,0.0000,0.00,0.00,1,0,0,normal
1790318034.40,1,0,0,0.00,0.00,2.31,0,0.0000,0.00,0.00,1,0,0,normal
1790318035.40,1,0,0,0.00,0.00,3.31,0,0.0000,0.00,0.00,1,0,0,normal
1790318036.40,1,0,0,0.00,0.00,4.31,0,0.0000,0.00,0.00,1,0,0,normal
1790318037.40,1,0,0,0.00,0.00,5.31,0,0.0000,0.00,0.00,1,0,0,normal
1790318038.40,1,25,14628,24.95,14600.07,6.31,0,0.0000,493.33,318.94,1,0,0,normal
1790318039.40,1,127,166608,101.87,151787.58,7.32,0,0.0000,983.57,650.66,1,0,0,normal
1790318040.41,1,229,318588,101.79,151660.97,8.32,0,0.0000,998.07,660.11,1,0,0,normal
1790318041.41,1,331,470568,101.89,151818.64,9.32,0,0.0000,1003.42,663.71,1,0,0,normal
1790318042.41,1,435,610480,103.87,139731.04,10.32,0,0.0000,959.47,616.67,1,0,0,normal
1790318043.41,1,437,610612,2.00,131.86,11.32,0,0.0000,531.40,642.98,1,0,0,normal
1790318044.41,1,437,610612,0.00,0.00,12.32,0,0.0000,764.10,676.53,1,0,0,normal
1790318045.41,1,491,667025,53.96,56369.34,13.32,0,0.0000,847.52,564.20,1,0,0,normal
1790318046.41,1,542,743015,50.93,75884.61,14.32,0,0.0000,998.29,650.31,1,0,0,normal
1790318047.42,1,593,819005,50.87,75799.77,15.33,0,0.0000,1000.21,651.58,1,0,0,normal
1790318048.42,1,645,896485,51.88,77301.28,16.33,0,0.0000,1001.85,652.66,1,0,0,normal
1790318049.42,1,696,972475,50.94,75907.76,17.33,0,0.0000,1003.20,653.57,1,0,0,normal
1790318050.42,1,724,994896,27.95,22381.45,18.33,0,0.0000,771.64,546.47,1,0,0,normal
1790318051.42,1,724,994896,0.00,0.00,19.33,0,0.0000,757.09,668.81,1,0,0,normal
1790318052.42,1,753,1015484,28.96,20558.10,20.34,0,0.0000,735.05,542.86,1,0,0,normal
1790318053.43,1,843,1149584,89.82,133837.00,21.34,0,0.0000,997.97,647.52,1,0,0,normal
1790318054.43,1,933,1283684,89.84,133865.39,22.34,0,0.0000,1000.29,649.04,1,0,0,normal
1790318055.43,1,1022,1416294,88.82,132337.61,23.34,0,0.0000,1002.16,650.28,1,0,0,normal
1790318056.43,1,1112,1550394,89.91,133966.14,24.34,0,0.0000,1003.74,651.33,1,0,0,normal
1790318057.43,1,1202,1684494,89.94,134008.72,25.34,0,0.0000,1005.07,652.22,1,0,0,normal
1790318058.43,1,1292,1818594,89.87,133899.87,26.34,0,0.0000,1006.22,652.99,1,0,0,normal
1790318059.43,1,1381,1933328,88.76,114426.95,27.35,0,0.0000,939.58,604.98,1,0,0,normal
1790318060.44,1,1381,1933328,0.00,0.00,28.35,0,0.0000,764.80,676.28,1,0,0,normal
1790318061.44,1,1381,1933328,0.00,0.00,29.35,0,0.0000,764.80,676.28,1,0,0,normal
1790318062.44,1,1381,1933328,0.00,0.00,30.35,0,0.0000,764.80,676.28,1,0,0,normal
1790318063.44,1,1381,1933328,0.00,0.00,31.35,0,0.0000,764.80,676.28,1,0,0,flash_crowd
